School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
THEODORE ROOSEVELT,114,113,99,0,1,0,0,PARAMOUNT
SEASIDE ELEMENTARY,114,108,95,0,0,6,0,TORRANCE
LONGFELLOW ELEMENTARY,114,100,88,13,0,1,1,WHITTIER
POST ELEMENTARY,114,96,84,18,0,0,0,WESTMINSTER
RICHARD HENRY LEE ELEMENTARY,114,107,94,0,0,7,0,LOS ALAMITOS
PALM ELEMENTARY,114,109,96,3,0,2,0,BEAUMONT
SUNDANCE ELEMENTARY,114,109,96,2,0,3,0,BEAUMONT
AMELIA EARHART ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,114,106,93,5,0,3,0,INDIO
SUNNYSLOPE ELEMENTARY,114,113,99,1,0,0,0,JURUPA VALLEY
RAILWAY ELEMENTARY,114,113,99,0,0,1,0,PERRIS
HARVEST VALLEY ELEMENTARY,114,113,99,1,0,0,0,ROMOLAND
PARK HILL ELEMENTARY,114,108,95,5,0,1,0,SAN JACINTO
COLUMBIA ELEMENTARY,114,110,96,3,1,0,0,PERRIS
WESTSIDE PARK ELEMENTARY,114,90,79,22,0,2,2,ADELANTO
JUNIPER ELEMENTARY,114,113,99,1,0,0,0,FONTANA
KINGSTON ELEMENTARY,114,112,98,0,0,2,2,HESPERIA
CREEK VIEW ELEMENTARY,114,108,95,2,0,4,0,ONTARIO
CORONA ELEMENTARY,114,114,100,0,0,0,0,ONTARIO
RICHARD HAYNES ELEMENTARY,114,112,98,2,0,0,0,ONTARIO
TIERRA VISTA ELEMENTARY,114,114,100,0,0,0,0,OXNARD
CESAR E. CHAVEZ ELEMENTARY,114,114,100,0,0,0,0,OXNARD
RAMONA ELEMENTARY,114,110,96,4,0,0,0,OXNARD
STEPHEN FOSTER ELEMENTARY,113,104,92,8,0,1,1,LAKEWOOD
LA BALLONA ELEMENTARY,113,110,97,2,0,1,0,CULVER CITY
LUPIN HILL ELEMENTARY,113,95,84,3,0,15,3,CALABASAS
PACIFIC BOULEVARD,113,62,55,51,0,0,0,HUNTINGTON PARK
LENICIA B. WEEMES ELEMENTARY,113,9,8,104,0,0,0,LOS ANGELES
SOUTH REGION ELEMENTARY 11,113,31,27,82,0,0,0,LOS ANGELES
GRIDLEY STREET ELEMENTARY,113,110,97,3,0,0,0,SAN FERNANDO
BUENA VISTA ELEMENTARY,113,109,96,2,0,2,0,PALMDALE
ARROYO ELEMENTARY,113,112,99,1,0,0,0,POMONA
JOSEPH ARNOLD ELEMENTARY,113,95,84,17,0,1,1,TORRANCE
TAMURA -HISAMATSU- ELEMENTARY,113,109,96,0,0,4,0,FOUNTAIN VALLEY
DWIGHT D. EISENHOWER ELEMENTARY,113,83,73,30,0,0,0,GARDEN GROVE
PORTOLA SPRINGS ELEMENTARY,113,91,81,22,0,0,0,IRVINE
ABBY REINKE ELEMENTARY,113,103,91,0,0,10,0,TEMECULA
CRAFTON ELEMENTARY,113,109,96,0,2,2,0,REDLANDS
ELM STREET ELEMENTARY,113,113,100,0,0,0,0,OXNARD
ALLEN AVENUE ELEMENTARY,112,101,90,8,0,3,1,SAN DIMAS
RAMONA,112,110,98,2,0,0,0,HAWTHORNE
COMMONWEALTH AVENUE ELEMENTARY,112,94,84,18,0,0,0,LOS ANGELES
MALABAR STREET ELEMENTARY,112,13,12,99,0,0,0,LOS ANGELES
SHENANDOAH STREET ELEMENTARY,112,96,86,16,0,0,0,LOS ANGELES
TWENTIETH STREET ELEMENTARY,112,106,95,6,0,0,0,LOS ANGELES
TOLUCA LAKE ELEMENTARY,112,108,96,0,0,4,4,NORTH HOLLYWOOD
VICTORY BOULEVARD ELEMENTARY,112,110,98,0,0,2,0,NORTH HOLLYWOOD
PLAYA VISTA ELEMENTARY,112,86,77,25,0,1,1,PLAYA VISTA
DYER STREET ELEMENTARY,112,112,100,0,0,0,0,SYLMAR
MOULTON ELEMENTARY,112,84,75,21,0,7,0,LAGUNA NIGUEL
EDWARD RUSSELL ELEMENTARY,112,110,98,2,0,0,0,SANTA ANA
OAK CREEK ELEMENTARY,112,112,100,0,0,0,0,IRVINE
BRYANT RANCH ELEMENTARY,112,101,90,6,0,5,0,YORBA LINDA
THOMAS A. EDISON ELEMENTARY,112,83,74,29,0,0,0,SANTA ANA
VINTAGE HILLS ELEMENTARY,112,103,92,1,0,8,0,TEMECULA
CARNELIAN ELEMENTARY,112,108,96,2,0,2,2,ALTA LOMA
WALTER ZIMMERMAN ELEMENTARY,112,103,92,7,2,0,0,BLOOMINGTON
GRAND TERRACE ELEMENTARY,112,108,96,2,0,2,0,GRAND TERRACE
WEST HERITAGE ELEMENTARY,112,108,96,0,2,2,0,FONTANA
MANUEL A. SALINAS CREATIVE ARTS ELEMENTARY,112,112,100,0,0,0,0,SAN BERNARDINO
RIO LINDO ELEMENTARY,112,94,84,17,0,1,1,OXNARD
WASHINGTON ELEMENTARY,111,105,95,6,0,0,0,BELLFLOWER
LINWOOD E. HOWE ELEMENTARY,111,103,93,6,0,2,0,CULVER CITY
BALBOA ELEMENTARY,111,96,86,10,0,5,0,GLENDALE
ROUND MEADOW ELEMENTARY,111,75,68,27,0,9,0,CALABASAS
BETTY PLASENCIA ELEMENTARY,111,101,91,10,0,0,0,LOS ANGELES
TOPEKA CHARTER SCHOOL FOR ADVANCED STUDIES,111,108,97,1,0,2,1,NORTHRIDGE
ANDRES AND MARIA CARDENAS ELEMENTARY,111,102,92,9,0,0,0,VAN NUYS
PALM TREE ELEMENTARY,111,108,97,3,0,0,0,PALMDALE
LONGFELLOW -HENRY W.- ELEMENTARY,111,107,96,4,0,0,0,PASADENA
LOS ALTOS ELEMENTARY,111,90,81,20,0,1,0,WHITTIER
S. CHRISTA MCAULIFFE ELEMENTARY,111,109,98,1,0,1,1,RIVERSIDE
CORONITA ELEMENTARY,111,106,96,4,1,0,0,CORONA
JAMES EARL CARTER ELEMENTARY,111,103,93,3,0,5,0,PALM DESERT
EDGEMONT ELEMENTARY,111,111,100,0,0,0,0,MORENO VALLEY
RIO VISTA ELEMENTARY,111,109,98,1,1,0,0,CATHEDRAL CITY
TONY TOBIN ELEMENTARY,111,103,93,4,0,4,1,TEMECULA
VICTORIA MAGATHAN ELEMENTARY,111,96,86,15,0,0,0,ADELANTO
ULYSSES GRANT ELEMENTARY,111,110,99,1,0,0,0,COLTON
WINDROWS ELEMENTARY,111,107,96,1,0,3,0,ETIWANDA
CYPRESS SCHOOL OF THE ARTS,111,108,97,0,0,3,0,HESPERIA
ACADEMY OF ARTS AND SCIENCES OXNARD AND VENTURA,111,17,15,75,0,19,11,WESTLAKE VILLAGE
RED OAK ELEMENTARY,111,88,79,21,0,2,0,OAK PARK
ELMHURST ELEMENTARY,111,96,86,9,0,6,1,VENTURA
JOHN MARSHALL ELEMENTARY,110,100,91,9,0,1,1,GLENDALE
CLEVELAND ELEMENTARY,110,97,88,12,0,1,0,LAKEWOOD
GANT ELEMENTARY,110,70,64,37,0,3,3,LONG BEACH
LOWELL ELEMENTARY,110,51,46,48,0,11,1,LONG BEACH
SIXTH AVENUE ELEMENTARY,110,72,65,36,0,2,0,LOS ANGELES
WARNER AVENUE ELEMENTARY,110,81,74,28,0,1,0,LOS ANGELES
WINTER GARDENS ELEMENTARY,110,110,100,0,0,0,0,LOS ANGELES
MITCHELL COMMUNITY ELEMENTARY,110,99,90,8,0,3,0,CANYON COUNTRY
TRUMAN BENEDICT ELEMENTARY,110,77,70,26,1,6,0,SAN CLEMENTE
COX -JAMES H.- ELEMENTARY,110,106,96,2,0,2,1,FOUNTAIN VALLEY
OCCS - CHEP PCHS,110,72,65,12,0,26,2,CYPRESS
OLIVEWOOD ELEMENTARY,110,68,62,42,0,0,0,LAKE FOREST
THREE RINGS RANCH ELEMENTARY,110,110,100,0,0,0,0,BEAUMONT
DR. REYNALDO J. CARREON JR. ACADEMY,110,105,95,5,0,0,0,INDIO
STONE AVENUE ELEMENTARY,110,102,93,7,0,1,1,JURUPA VALLEY
LUISENO,110,109,99,0,0,1,0,CORONA
HIDDEN SPRINGS ELEMENTARY,110,101,92,9,0,0,0,MORENO VALLEY
MIDLAND ELEMENTARY,110,108,98,1,0,1,0,MORENO VALLEY
GOOD HOPE ELEMENTARY,110,110,100,0,0,0,0,PERRIS
CASTLE VIEW ELEMENTARY,110,99,90,1,1,9,3,RIVERSIDE
WILLIAM HOWARD TAFT ELEMENTARY,110,107,97,3,0,0,0,RIVERSIDE
HARVEST CHRISTIAN SCHOOL,110,101,92,0,0,9,0,RIVERSIDE
GUS FRANKLIN,110,100,91,9,0,1,0,VICTORVILLE
WOODROW WILSON ELEMENTARY,110,109,99,0,0,1,0,COLTON
CUCAMONGA ELEMENTARY,110,91,83,18,0,1,1,RANCHO CUCAMONGA
"KRYSTAL SCHOOL OF SCIENCE, MATH & TECHNOLOGY",110,110,100,0,0,0,0,HESPERIA
EDISON ELEMENTARY,110,108,98,0,0,2,0,ONTARIO
HAWTHORNE ELEMENTARY,110,100,91,8,2,0,0,ONTARIO
VISTA VERDE ELEMENTARY,110,97,88,13,0,0,0,VICTORVILLE
EL RINCON ELEMENTARY,109,105,96,4,0,0,0,CULVER CITY
VERDUGO WOODLANDS ELEMENTARY,109,101,93,4,0,4,1,GLENDALE
JOHN AND JACQUELYN MILLER ELEMENTARY,109,106,97,0,0,3,1,LANCASTER
GARDENA ELEMENTARY,109,28,26,81,0,0,0,GARDENA
KIPP RAICES ACADEMY,109,107,98,2,0,0,0,LOS ANGELES
SEVENTH STREET ELEMENTARY,109,103,95,2,0,4,0,SAN PEDRO
CARVER ELEMENTARY,109,109,100,0,0,0,0,SAN MARINO
FERN ELEMENTARY,109,100,92,6,0,3,3,TORRANCE
GAUER -MELBOURNE A.- ELEMENTARY,109,108,99,1,0,0,0,ANAHEIM
PLAVAN -URBAIN H.- ELEMENTARY,109,109,100,0,0,0,0,FOUNTAIN VALLEY
HOPE VIEW ELEMENTARY,109,104,95,2,0,3,0,HUNTINGTON BEACH
BROOKHAVEN ELEMENTARY,109,97,89,9,0,3,0,PLACENTIA
SCHMITT ELEMENTARY,109,108,99,0,0,1,0,WESTMINSTER
GARRETSON ELEMENTARY,109,104,95,4,0,1,1,CORONA
ELSINORE ELEMENTARY,109,106,97,2,0,1,0,LAKE ELSINORE
MONROE ELEMENTARY,109,108,99,1,0,0,0,RIVERSIDE
TOMAS RIVERA ELEMENTARY,109,108,99,0,0,1,1,RIVERSIDE
SHADOW HILLS ELEMENTARY,109,108,99,1,0,0,0,FONTANA
SAN BERNARDINO COUNTY SPECIAL EDUCATION,109,98,90,8,0,3,0,SAN BERNARDINO
DISCOVERY SCHOOL OF THE ARTS,109,89,82,16,3,1,1,VICTORVILLE
LEMONWOOD ELEMENTARY,109,108,99,1,0,0,0,OXNARD
FOSTER ELEMENTARY,108,105,97,0,0,3,0,BALDWIN PARK
THOMAS JEFFERSON ELEMENTARY,108,105,97,1,0,2,0,BURBANK
OCEAN VIEW ELEMENTARY,108,101,94,2,0,5,0,WHITTIER
PAYNE -BEULAH- ELEMENTARY,108,98,91,9,0,1,1,INGLEWOOD
WILLOW ELEMENTARY,108,88,81,0,8,12,0,AGOURA
ELIZABETH LEARNING CENTER,108,94,87,14,0,0,0,CUDAHY
PUENTE CHARTER,108,108,100,0,0,0,0,LOS ANGELES
WEIGAND AVENUE ELEMENTARY,108,67,62,41,0,0,0,LOS ANGELES
GARDENHILL ELEMENTARY,108,97,90,11,0,0,0,LA MIRADA
EARL E. EDMONDSON ELEMENTARY,108,108,100,0,0,0,0,NORWALK
GEORGE WHITE ELEMENTARY,108,95,88,5,1,7,0,LAGUNA NIGUEL
PHILIP J. REILLY ELEMENTARY SPECIAL EDUCATION,108,99,92,2,7,0,0,MISSION VIEJO
ROLLING HILLS ELEMENTARY,108,96,89,0,8,4,4,FULLERTON
TERRACE ELEMENTARY,108,103,95,5,0,0,0,RIVERSIDE
LAS PALMITAS ELEMENTARY,108,107,99,1,0,0,0,THERMAL
HERBERT HOOVER ELEMENTARY,108,105,97,2,0,1,0,INDIO
MADISON ELEMENTARY,108,108,100,0,0,0,0,RIVERSIDE
WILLIAM MCKINLEY ELEMENTARY,108,107,99,0,0,1,0,COLTON
LOS AMIGOS ELEMENTARY,108,100,93,8,0,0,0,RANCHO CUCAMONGA
LINCOLN ELEMENTARY,108,107,99,0,0,1,0,ONTARIO
THURGOOD MARSHALL ELEMENTARY,108,106,98,2,0,0,0,OXNARD
GLEN CITY ELEMENTARY,108,106,98,1,1,0,0,SANTA PAULA
BERYLWOOD ELEMENTARY,108,91,84,17,0,0,0,SIMI VALLEY
INTENSIVE LEARNING CENTER,107,99,93,4,1,3,1,LAKEWOOD
RIO HONDO ELEMENTARY,107,97,91,7,0,3,1,DOWNEY
RIO SAN GABRIEL ELEMENTARY,107,104,97,2,1,0,0,DOWNEY
RICHMOND STREET ELEMENTARY,107,105,98,1,0,1,0,EL SEGUNDO
LANGDON AVENUE ELEMENTARY,107,99,93,8,0,0,0,NORTH HILLS
AURELIA PENNEKAMP ELEMENTARY,107,100,93,2,2,3,2,MANHATTAN BEACH
OAK GROVE ELEMENTARY,107,91,85,15,1,0,0,ALISO VIEJO
CLINTON-MENDENHALL ELEMENTARY,107,107,100,0,0,0,0,GARDEN GROVE
CALIFORNIA ELEMENTARY,107,91,85,15,0,1,0,ORANGE
LA GRANADA ELEMENTARY,107,102,95,5,0,0,0,RIVERSIDE
ORANGE ELEMENTARY,107,96,90,4,0,7,0,CORONA
BEAR VALLEY ELEMENTARY,107,94,88,9,0,4,4,MORENO VALLEY
HOWARD ELEMENTARY,107,104,97,1,0,2,0,MONTCLAIR
PUESTA DEL SOL ELEMENTARY,107,84,79,23,0,0,0,VICTORVILLE
NANCY CORY ELEMENTARY,106,95,90,7,2,2,2,LANCASTER
BAY LAUREL ELEMENTARY,106,98,92,2,4,2,0,CALABASAS
LUCILLE ROYBAL-ALLARD ELEMENTARY,106,89,84,17,0,0,0,HUNTINGTON PARK
CELERITY TROIKA CHARTER,106,82,77,24,0,0,0,LOS ANGELES
BAKER ELEMENTARY,106,105,99,1,0,0,0,EL MONTE
ESCALONA ELEMENTARY,106,101,95,0,5,0,0,LA MIRADA
JACKSON ELEMENTARY,106,90,85,15,0,1,1,ALTADENA
KINGSLEY ELEMENTARY,106,106,100,0,0,0,0,POMONA
LOPEZ ELEMENTARY,106,106,100,0,0,0,0,POMONA
MARSHALL -JOHN- ELEMENTARY,106,105,99,0,0,1,0,ANAHEIM
OASIS ELEMENTARY,106,106,100,0,0,0,0,THERMAL
RONALD REAGAN ELEMENTARY,106,100,94,3,1,2,0,WILDOMAR
SANTA ROSA ACADEMY,106,62,58,41,0,3,3,MENIFEE
CLOVERDALE ELEMENTARY,106,104,98,2,0,0,0,MORENO VALLEY
TWENTYNINE PALMS ELEMENTARY,106,102,96,2,0,2,1,TWENTYNINE PALMS
LEHIGH ELEMENTARY,106,106,100,0,0,0,0,MONTCLAIR
EUCLID ELEMENTARY,106,105,99,1,0,0,0,ONTARIO
CRAM ELEMENTARY,106,98,92,3,1,4,1,HIGHLAND
KIMBERLY ELEMENTARY,106,97,92,3,1,5,1,REDLANDS
DUNN ELEMENTARY,106,100,94,5,0,1,0,RIALTO
DUNLAP ELEMENTARY,106,101,95,3,1,1,0,YUCAIPA
MELBOURNE -ELLA P.- ELEMENTARY,105,102,97,3,0,0,0,LAKEWOOD
STANTON ELEMENTARY,105,98,93,7,0,0,0,GLENDORA
BILLY MITCHELL ELEMENTARY,105,76,72,29,0,0,0,LAWNDALE
ESTRELLA ELEMENTARY,105,86,82,19,0,0,0,LOS ANGELES
MARTIN LUTHER KING JR. ELEMENTARY,105,45,43,60,0,0,0,LOS ANGELES
SAN JOSE STREET ELEMENTARY,105,97,92,8,0,0,0,MISSION HILLS
MORNINGSIDE ELEMENTARY,105,95,90,10,0,0,0,SAN FERNANDO
LOS AMIGOS,105,104,99,1,0,0,0,PALMDALE
JUAN DE ANZA ELEMENTARY,105,104,99,0,0,1,1,HAWTHORNE
JUAREZ -BENITO- ELEMENTARY,105,104,99,1,0,0,0,ANAHEIM
KINOSHITA ELEMENTARY,105,104,99,1,0,0,0,SAN JUAN CAPISTRANO
BROOKSIDE ELEMENTARY,105,98,93,4,0,3,3,BEAUMONT
ABRAHAM LINCOLN ELEMENTARY,105,99,94,3,0,3,0,PALM DESERT
JACKSON ELEMENTARY,105,96,91,8,0,1,1,RIVERSIDE
SAN JACINTO VALLEY ACADEMY,105,100,95,3,0,2,1,SAN JACINTO
EAGLE RANCH,105,98,93,7,0,0,0,ADELANTO
BUTTERFIELD RANCH ELEMENTARY,105,96,91,3,0,6,0,CHINO HILLS
PAUL ROGERS ELEMENTARY,105,94,90,11,0,0,0,COLTON
MENTONE ELEMENTARY,105,102,97,1,0,2,1,MENTONE
JULIEN HATHAWAY ELEMENTARY,105,103,98,2,0,0,0,OXNARD
RIO ROSALES,105,82,78,22,0,1,1,OXNARD
WOOD RANCH ELEMENTARY,105,93,89,2,2,8,1,SIMI VALLEY
WALNUT ELEMENTARY,104,104,100,0,0,0,0,BALDWIN PARK
THEODORE ROOSEVELT ELEMENTARY,104,100,96,2,0,2,0,BURBANK
ACCELERATED,104,104,100,0,0,0,0,LOS ANGELES
ARLINGTON HEIGHTS ELEMENTARY,104,57,55,47,0,0,0,LOS ANGELES
SALLY RIDE ELEMENTARY: A SMART ACADEMY,104,88,85,16,0,0,0,LOS ANGELES
HERRICK AVENUE ELEMENTARY,104,103,99,0,0,1,0,SYLMAR
STAGG STREET ELEMENTARY,104,104,100,0,0,0,0,VAN NUYS
BRIDGEPORT ELEMENTARY,104,99,95,3,2,0,0,SANTA CLARITA
LYDIA JACKSON ELEMENTARY,104,72,69,31,1,0,0,WHITTIER
JULIETTE LOW ELEMENTARY,104,101,97,3,0,0,0,ANAHEIM
PETER MARSHALL ELEMENTARY,104,101,97,0,0,3,0,ANAHEIM
DIAMOND ELEMENTARY,104,100,96,4,0,0,0,SANTA ANA
TAFT ELEMENTARY,104,86,83,18,0,0,0,SANTA ANA
GERALD R. FORD ELEMENTARY,104,101,97,1,0,2,1,INDIAN WELLS
EVANS RANCH ELEMENTARY,104,100,96,0,0,4,0,MENIFEE
RIDGE CREST ELEMENTARY,104,100,96,3,0,1,0,MORENO VALLEY
VAIL ELEMENTARY,104,102,98,2,0,0,0,TEMECULA
CAMERON ELEMENTARY,104,104,100,0,0,0,0,BARSTOW
DEL NORTE ELEMENTARY,104,102,98,2,0,0,0,ONTARIO
MUSCOY ELEMENTARY,104,103,99,1,0,0,0,SAN BERNARDINO
JOAQUIN MILLER ELEMENTARY,103,97,94,5,0,1,0,BURBANK
MARTIN LUTHER KING ELEMENTARY,103,100,97,3,0,0,0,COMPTON
CULLEN ELEMENTARY,103,97,94,4,0,2,2,GLENDORA
GERMAIN ACADEMY FOR ACADEMIC ACHIEVEMENT,103,100,97,2,0,1,1,CHATSWORTH
JOHN B. MONLUX ELEMENTARY,103,96,93,7,0,0,0,NORTH HOLLYWOOD
WILL ROGERS ELEMENTARY,103,96,93,7,0,0,0,LYNWOOD
STANLEY G. OSWALT ACADEMY,103,97,94,6,0,0,0,WALNUT
WEST CREEK ACADEMY,103,99,96,0,0,4,0,VALENCIA
RIVIERA ELEMENTARY,103,83,81,15,0,5,0,TORRANCE
WESCOVE ELEMENTARY,103,96,93,7,0,0,0,WEST COVINA
AROVISTA ELEMENTARY,103,81,79,18,2,2,0,BREA
VILLAGE VIEW ELEMENTARY,103,93,90,2,0,8,1,HUNTINGTON BEACH
MONTE VISTA ELEMENTARY,103,100,97,3,0,0,0,SANTA ANA
HEMMERLING ELEMENTARY,103,100,97,2,0,1,0,BANNING
MARTIN VAN BUREN ELEMENTARY,103,101,98,2,0,0,0,INDIO
HENDRICK RANCH ELEMENTARY,103,96,93,7,0,0,0,MORENO VALLEY
RAIL RANCH ELEMENTARY,103,97,94,6,0,0,0,MURRIETA
TOVASHAL ELEMENTARY,103,95,92,2,0,6,0,MURRIETA
EXCEL PREP CHARTER - IE,103,70,68,33,0,0,0,MORENO VALLEY
JUNIPER ELEMENTARY,103,97,94,3,0,3,0,HESPERIA
RANCH VIEW ELEMENTARY,103,89,86,10,0,4,0,ONTARIO
MISSION ELEMENTARY,103,96,93,3,0,4,2,REDLANDS
BRADLEY ELEMENTARY,103,103,100,0,0,0,0,SAN BERNARDINO
MARSHALL ELEMENTARY,103,103,100,0,0,0,0,SAN BERNARDINO
BALDY VIEW ELEMENTARY,103,97,94,1,1,4,0,UPLAND
HOLLOW HILLS ELEMENTARY,103,96,93,3,0,4,0,SIMI VALLEY
VISTA ELEMENTARY,103,103,100,0,0,0,0,SIMI VALLEY
SUTHERLAND ELEMENTARY,102,99,97,0,0,3,0,GLENDORA
GORMAN LEARNING CENTER,102,55,54,21,0,26,24,REDLANDS
HAZELTINE AVENUE ELEMENTARY,102,97,95,4,0,1,0,VAN NUYS
WILSON ELEMENTARY,102,87,85,15,0,0,0,LYNWOOD
SIERRA MADRE ELEMENTARY,102,99,97,1,0,2,0,SIERRA MADRE
MCKINLEY ELEMENTARY,102,77,75,20,0,5,0,SANTA MONICA
NEWPORT HEIGHTS ELEMENTARY,102,72,71,26,0,4,0,NEWPORT BEACH
MYRA LINN ELEMENTARY,102,100,98,1,0,1,0,RIVERSIDE
LYNDON B. JOHNSON ELEMENTARY,102,101,99,0,0,1,0,INDIO
SAM V. CURTIS ELEMENTARY,102,95,93,7,0,0,0,RIALTO
NORTH PARK ELEMENTARY,102,99,97,0,1,2,0,SAN BERNARDINO
PORTOLA ELEMENTARY,102,89,87,6,0,7,0,VENTURA
LONGFELLOW ELEMENTARY,101,99,98,2,0,0,0,COMPTON
WORKMAN AVENUE ELEMENTARY,101,98,97,3,0,0,0,WEST COVINA
WARD ELEMENTARY,101,95,94,6,0,0,0,DOWNEY
TIERRA BONITA ELEMENTARY,101,97,96,2,2,0,0,LANCASTER
SPARKS ELEMENTARY,101,83,82,18,0,0,0,LA PUENTE
GARDNER STREET ELEMENTARY,101,93,92,7,0,1,0,LOS ANGELES
ONE HUNDRED SIXTEENTH STREET ELEMENTARY,101,101,100,0,0,0,0,LOS ANGELES
RAMONA ELEMENTARY,101,68,67,33,0,0,0,LOS ANGELES
HALLDALE ELEMENTARY,101,92,91,8,0,1,1,TORRANCE
FRANKLIN -BENJAMIN- ELEMENTARY,101,92,91,9,0,0,0,ANAHEIM
ORANGE GROVE ELEMENTARY,101,101,100,0,0,0,0,ANAHEIM
LA VETA ELEMENTARY,101,96,95,3,0,2,0,ORANGE
BENJAMIN F. BESWICK ELEMENTARY,101,100,99,1,0,0,0,TUSTIN
ADA CLEGG ELEMENTARY,101,96,95,4,0,1,0,HUNTINGTON BEACH
ANNA HAUSE ELEMENTARY,101,94,93,5,0,2,1,BEAUMONT
JOHN KELLEY ELEMENTARY,101,100,99,1,0,0,0,THERMAL
TROTH STREET ELEMENTARY,101,85,84,15,0,1,1,JURUPA VALLEY
LAKELAND VILLAGE,101,99,98,0,0,2,0,LAKE ELSINORE
HIGHGROVE ELEMENTARY,101,82,81,19,0,0,0,RIVERSIDE
WEST CREEK ELEMENTARY,101,80,79,21,0,0,0,VICTORVILLE
EUCALYPTUS ELEMENTARY,101,100,99,1,0,0,0,HESPERIA
HELEN L. DOLLAHAN ELEMENTARY,101,98,97,2,0,1,0,RIALTO
CABRILLO ELEMENTARY,101,97,96,4,0,0,0,UPLAND
MAR VISTA ELEMENTARY,101,97,96,3,0,1,1,OXNARD
WASHINGTON ELEMENTARY,100,92,92,6,0,2,0,GLENDORA
BURSCH ELEMENTARY,100,93,93,7,0,0,0,COMPTON
CAHUENGA ELEMENTARY,100,100,100,0,0,0,0,LOS ANGELES
VICTORIA AVENUE ELEMENTARY,100,98,98,2,0,0,0,SOUTH GATE
ALTA VISTA ELEMENTARY,100,97,97,0,0,3,0,REDONDO BEACH
ROOSEVELT ELEMENTARY,100,98,98,0,0,2,0,SAN GABRIEL
CHARLES G. EMERY ELEMENTARY,100,97,97,1,0,2,0,BUENA PARK
ORANGETHORPE ELEMENTARY,100,99,99,0,0,1,0,FULLERTON
ESTHER L. WALTER ELEMENTARY,100,100,100,0,0,0,0,ANAHEIM
WEST ORANGE ELEMENTARY,100,85,85,15,0,0,0,ORANGE
ANDREW JACKSON ELEMENTARY,100,98,98,0,0,2,0,INDIO
HENDERSON ELEMENTARY,100,94,94,4,1,1,0,BARSTOW
CARYN ELEMENTARY,100,93,93,3,0,4,0,ALTA LOMA
LIVE OAK ELEMENTARY,100,98,98,2,0,0,0,FONTANA
CENTRAL LANGUAGE ACADEMY,100,95,95,3,0,2,0,ONTARIO
BRAGG ELEMENTARY,99,88,89,8,0,3,0,CERRITOS
NIXON -PATRICIA- ELEMENTARY,99,96,97,3,0,0,0,CERRITOS
ANDERSON ELEMENTARY,99,85,86,14,0,0,0,COMPTON
LEFFINGWELL ELEMENTARY,99,96,97,0,0,3,0,WHITTIER
ALICE M. BIRNEY ELEMENTARY,99,95,96,2,1,1,0,PICO RIVERA
FAIRGROVE ACADEMY,99,96,97,3,0,0,0,LA PUENTE
CENTINELA ELEMENTARY,99,77,78,22,0,0,0,INGLEWOOD
BARTON ELEMENTARY,99,86,87,13,0,0,0,LONG BEACH
VENA AVENUE ELEMENTARY,99,93,94,3,0,3,0,ARLETA
LOMITA MATH SCIENCE TECHNOLOGY MAGNET,99,94,95,4,0,1,0,LOMITA
FRANKLIN AVENUE ELEMENTARY,99,30,30,66,0,3,0,LOS ANGELES
FISHBURN AVENUE ELEMENTARY,99,91,92,8,0,0,0,MAYWOOD
DAPPLEGRAY ELEMENTARY,99,82,83,14,0,3,1,ROLLING HILLS ESTATES
MOUNTAINVIEW ELEMENTARY,99,88,89,7,0,4,1,SAUGUS
TESORO DEL VALLE ELEMENTARY,99,83,84,15,0,1,0,VALENCIA
MILL ELEMENTARY,99,91,92,4,1,3,0,WHITTIER
FAITH BAPTIST,99,94,95,0,0,5,0,CANOGA PARK
FRANK VESSELS ELEMENTARY,99,84,85,13,2,0,0,CYPRESS
ACACIA ELEMENTARY,99,93,94,1,0,5,0,FULLERTON
GOLDEN HILL ELEMENTARY,99,97,98,0,0,2,0,FULLERTON
LAKE FOREST ELEMENTARY,99,86,87,13,0,0,0,LAKE FOREST
CIELO VISTA ELEMENTARY,99,64,65,33,1,1,1,RANCHO SANTA MARGARITA
FREMONT ELEMENTARY,99,95,96,3,0,1,0,SANTA ANA
TUSTIN RANCH ELEMENTARY,99,96,97,1,0,2,0,TUSTIN
FOOTHILL ELEMENTARY,99,96,97,2,0,1,0,RIVERSIDE
INDIAN HILLS ELEMENTARY,99,98,99,0,0,1,0,JURUPA VALLEY
INNOVATIVE HORIZONS CHARTER,99,99,100,0,0,0,0,PERRIS
SIERRA LAKES ELEMENTARY,99,95,96,2,1,1,1,FONTANA
MARIPOSA ELEMENTARY,99,91,92,3,0,5,2,REDLANDS
GRACIANO GOMEZ ELEMENTARY,99,96,97,2,0,1,0,SAN BERNARDINO
PARKSIDE ELEMENTARY,99,97,98,1,0,1,0,SAN BERNARDINO
VERMONT ELEMENTARY,99,93,94,6,0,0,0,SAN BERNARDINO
CYPRESS ELEMENTARY,98,94,96,3,0,1,0,COVINA
GALLATIN ELEMENTARY,98,95,97,1,0,2,2,DOWNEY
MONTE VISTA ELEMENTARY,98,85,87,10,0,3,0,LA CRESCENTA
CHAPARRAL ELEMENTARY,98,92,94,0,0,6,0,WOODLAND HILLS
FULLBRIGHT AVENUE ELEMENTARY,98,89,91,9,0,0,0,CANOGA PARK
JAIME ESCALANTE ELEMENTARY,98,95,97,3,0,0,0,CUDAHY
