School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
LINDA VERDE ELEMENTARY,162,158,98,4,0,0,0,LANCASTER
SEVENTY-FIFTH STREET ELEMENTARY,162,151,93,11,0,0,0,LOS ANGELES
BASSETT STREET ELEMENTARY,162,152,94,8,0,2,1,VAN NUYS
KESTER AVENUE ELEMENTARY,162,157,97,1,0,4,0,VAN NUYS
HARRINGTON ELEMENTARY,162,162,100,0,0,0,0,OXNARD
VICTOR ELEMENTARY,161,149,93,11,0,1,0,TORRANCE
SUNDOWN ELEMENTARY,161,146,91,4,0,11,9,LANCASTER
CESAR CHAVEZ ELEMENTARY,161,155,96,6,0,0,0,COACHELLA
COLE CANYON ELEMENTARY,161,145,90,0,0,16,0,MURRIETTA
PARMELEE AVENUE ELEMENTARY,160,103,64,57,0,0,0,LOS ANGELES
CASTLEBAY LANE CHARTER,160,156,98,1,0,3,3,NORTHRIDGE
MANN -HORACE- ELEMENTARY,160,159,99,1,0,0,0,ANAHEIM
OAK VIEW ELEMENTARY,160,145,91,15,0,0,0,HUNTINGTON BEACH
RALPH A. GATES ELEMENTARY,160,138,86,20,0,2,0,LAKE FOREST
BAUTISTA CREEK ELEMENTARY,160,150,94,3,0,7,0,HEMET
JACOB WIENS ELEMENTARY,160,154,96,2,0,4,0,HEMET
RIVERSIDE PREPARATORY,160,160,100,0,0,0,0,ORO GRANDE
ANSGAR LARSEN ELEMENTARY,160,153,96,7,0,0,0,OXNARD
MIRAMONTE ELEMENTARY,159,88,55,71,0,0,0,LOS ANGELES
NOBLE AVENUE ELEMENTARY,159,152,96,7,0,0,0,NORTH HILLS
FERNANGELES ELEMENTARY,159,154,97,5,0,0,0,SUN VALLEY
WASHINGTON ELEMENTARY,159,137,86,22,0,0,0,SANTA ANA
MEGAN COPE ELEMENTARY,159,156,98,0,0,3,0,SAN JACINTO
EL MARINO ELEMENTARY,158,148,94,5,0,5,0,CULVER CITY
SIGNAL HILL ELEMENTARY,158,139,88,19,0,0,0,SIGNAL HILL
SAN PEDRO STREET ELEMENTARY,158,158,100,0,0,0,0,LOS ANGELES
SIXTY-SIXTH STREET ELEMENTARY,158,154,97,4,0,0,0,LOS ANGELES
CANTERBURY AVENUE ELEMENTARY,158,152,96,6,0,0,0,PACOMIA
MICHELLE OBAMA ELEMENTARY,158,147,93,11,0,0,0,PANORAMA CITY
VILLAGE ELEMENTARY,158,128,81,26,0,4,2,VICTORVILLE
SHARP AVENUE ELEMENTARY,157,156,99,1,0,0,0,ARLETA
LOS ANGELES ELEMENTARY,157,40,25,117,0,0,0,LOS ANGELES
KITTRIDGE STREET ELEMENTARY,157,155,99,0,0,2,0,VAN NUYS
LA ROSA ELEMENTARY,157,153,97,4,0,0,0,TEMPLE CITY
CYPRESS VILLAGE ELEMENTARY,157,128,82,20,1,8,8,IRVINE
ALTA MURRIETA ELEMENTARY,157,139,89,4,1,13,0,MURRIETA
R. D. WHITE ELEMENTARY,156,124,79,26,0,6,5,GLENDALE
FOURTH STREET ELEMENTARY,156,141,90,15,0,0,0,LOS ANGELES
STRATHERN STREET ELEMENTARY,156,150,96,4,0,2,2,NORTH HOLLYWOOD
ARMADA ELEMENTARY,156,151,97,5,0,0,0,MORENO VALLEY
WEST WIND ELEMENTARY,155,153,99,0,0,2,0,LANCASTER
WOODLAWN AVENUE ELEMENTARY,155,127,82,28,0,0,0,BELL
RICE CANYON ELEMENTARY,155,149,96,0,0,6,0,LAKE ELSINORE
RAINBOW RIDGE ELEMENTARY,155,149,96,6,0,0,0,MORENO VALLEY
PALMETTO ELEMENTARY,155,152,98,2,1,0,0,FONTANA
SIERRA ELEMENTARY,154,150,97,3,1,0,0,LANCASTER
GRAHAM ELEMENTARY,154,124,81,30,0,0,0,LOS ANGELES
COLDWATER CANYON ELEMENTARY,154,145,94,9,0,0,0,NORTH HOLLYWOOD
SAN JOSE CHARTER ACADEMY,154,147,95,4,1,2,2,WEST COVINA
EDISON -THOMAS- ELEMENTARY,154,153,99,1,0,0,0,ANAHEIM
RICHMAN ELEMENTARY,154,152,99,0,0,2,0,FULLERTON
YORK,153,126,82,27,0,0,0,HAWTHORNE
ROSA PARKS LEARNING CENTER,153,143,93,9,0,1,0,NORTH HILLS
VAN NUYS ELEMENTARY,153,152,99,1,0,0,0,VAN NUYS
ARBOLITA ELEMENTARY,153,151,99,2,0,0,0,LA HABRA
LADERA PALMA ELEMENTARY,153,147,96,4,0,2,0,LA HABRA
MARTIN ELEMENTARY,153,149,97,4,0,0,0,SANTA ANA
