"Carrier Name","Carrier Location","Carrier Status","Allowed to Operate","Watchlist Reason","Fleet Size","BASIC Status","SAFER Details"
"Bay Side Tours & Charters","Chula Vista, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=N2K5CsHfCIQ=&DOCKET=H7BHXBRQ1hA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1459216"
"Best Chauffeured Worldwide","Huntington Beach, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=vwgARBDwsjk=&DOCKET=OflyLQDHltE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1475332"
"Best Tours & Travel","Fresno, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=+X1iOLYEUTU=&DOCKET=/g0PVyDIWhc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=383609"
"Bingo Tour Corp","Monterey Park, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=LlF4Q0hRVIQ=&DOCKET=DqTvJ965sos=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2054700"
"Bluesky Bus Charters","Playa Del Rey, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=GcGFyjIi3NY=&DOCKET=k2aMxyukA20=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1047109"
"Bonjour Transportation","San Francisco, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=LTFDdxl7pIY=&DOCKET=2Lt4B750Og8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=923650"
"Bravosol Tours","Calexico, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=kwzUR3VfbRw=&DOCKET=1rhC5S8ap94=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1133533"
"Breland Lines","San Bernardino, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=mw4krl97ZTA=&DOCKET=9bkd65ldYL8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=223333"
"Broadvision Charters & Tours","Hayward, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=U3ZhllNbJO0=&DOCKET=G3Tj9GZiSJc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1755089"
"Butterfield Tours & Charters","Hemet, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=WTsQkchNYr8=&DOCKET=xRNQh4C5nZ8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1318988"
"C & J Express","Monterey Park, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ECehAQiHjgI=&DOCKET=3TlF6O3x1q0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1551943"
