"Carrier Name","Carrier Location","Carrier Status","Allowed to Operate","Watchlist Reason","Fleet Size","BASIC Status","SAFER Details"
"New Ark Llc","San Gabriel, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KAtSEp+V5Wc=&DOCKET=vNA4goXSB1Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2303296"
"Newstar Express Inc","Los Angeles, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=afGPVML3vY4=&DOCKET=OI85aut2Ezs=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1818753"
"Northstar At Tahoe","Truckee, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=EyDCIMUhOvQ=&DOCKET=1wbxZ3vj+Ow=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=182665"
"Odyssey Coach Tours And Charter","Placentia, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=f91uCJEt9Cw=&DOCKET=p1IQv3NNraw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=876495"
"Olinet Charter","Los Angeles, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=rdzL+Lc38g0=&DOCKET=I35K3bXamwo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1308628"
"Open Top Sightseeing San Francisco Llc","San Francisco, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=XkWHLIGKnWE=&DOCKET=ys1BZjzd56o=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2069464"
"Orange Belt Stages","Visalia, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=57G+gOPpk1w=&DOCKET=efc95jB8/H4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=12695"
"Orion Pacific","Orange, CA","See BASIC Status Link","Yes",,7,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=mGQzjcjr62E=&DOCKET=yDIyEKc7tG4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=519935"
"Our Coach","Rocklin, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=tPqPL+bJNkQ=&DOCKET=a2RoHhPsxag=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2017115"
"Pacific Coachways Charter Services, Inc","Garden Grove, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=OZMaAsQyvlo=&DOCKET=dtCWVyz5ckI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=469591"
"Pacific Coast Sightseeing Tours & Charters, Inc.","Anaheim, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=b/7EKb3rpmk=&DOCKET=pZM4Ui5LQ8U=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=454893"
"Pacific Monarch Limited","Marina, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=s2KZ2WsSVgw=&DOCKET=PYvb8OBN4UM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=276423"
"Pai Tour & Bus Inc","Baldwin Park, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Z25yto1+1fo=&DOCKET=Ech4fNG4Pzc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2149610"
"Patty Wagon Charter/Premiere Limousine Service","Tujunga, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KsMMZ+6BQ9c=&DOCKET=qMSQoPuAyY8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=736566"
"Peninsula Tour","San Francisco, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=c9Fgn4UCnEI=&DOCKET=umk+fx8tKyE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1171063"
"Picasso Tours & Charter Inc","Alhambra, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=0BRu80+0FUA=&DOCKET=6knOySyf7iw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2026609"
"Platinum Limousine & Sedan Inc","Long Beach, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=T4j7FEP2sx4=&DOCKET=GcdDitFiE7w=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2141914"
"Preferred Charters, Llc","Santa Rosa, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=M/nitVvjmCg=&DOCKET=/Fi+VqznLLw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=260010"
"Professional Charter Services","San Francisco, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=h54P8FLgV0c=&DOCKET=g8QUaHMM4Kw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1810019"
"Pure Luxury Limousine Service, Inc.","Petaluma, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=43eLU9WidsA=&DOCKET=jCXrv1bXUPw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=720296"
"Quality Assurance Travel Charter","Santa Clara, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=huREy5SkVO0=&DOCKET=jNKSyS127pc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1017085"
"R S  Bus  Line,   Inc.","Los Angeles, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=B1Lckipfbrs=&DOCKET=IwKjLciiYTw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=469987"
"Ramirez Tours","Huntington Park, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=8zBrgBJrVAI=&DOCKET=jujS6H2gnBE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=815537"
"Raniya Tours Usa","Hayward, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=3fWYO8pOQj8=&DOCKET=eNnJsBvDyLg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1705840"
"Reyes Tours","Los Angeles, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=snXuGncSPaE=&DOCKET=h12hf1qP02s=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=855494"
"Roadrunner Transportation Services","Camarillo, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=0//jAGeyeeU=&DOCKET=BWC8s3PYAhI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1440043"
"Roadways International Inc.","Orange, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=3iJxNK56VUQ=&DOCKET=tNZw9Zl/xzg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1327644"
"Rosie'S Tours","Fremont, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=0+elDetarx4=&DOCKET=danObNpIS+M=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=321066"
"Royal American Tours","Glendale, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=fkmdDgqAmXI=&DOCKET=DZByumT7jAo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1132299"
"Royal Coach Limousine","Napa, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jJR3r1l8s2A=&DOCKET=aCgjbiXCrb0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1840959"
"Royal Coach Tours, Inc.","San Jose, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=hJDC4VUIWYE=&DOCKET=JzO1aAESnss=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=164777"
"Royal Lines","San Diego, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Gr+5/B3Yof8=&DOCKET=MnOu3ydpxdg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=475898"
"Ryan'S Express Motorcoach","Torrance, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=bihLBL3MXyw=&DOCKET=Mbx4NIGsRrM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2251819"
"S&S Tour Usa Llc","Hayward, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=uUcoFDNbSfs=&DOCKET=KXQYeU9PvQc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=541341"
"Samho Transportation","Los Angeles, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KyAmtjA+XSw=&DOCKET=qwJYHrwwzio=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=925464"
"Sammy Express Tour & Travel","City Of Industry, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=U63NyIy0CJ0=&DOCKET=t+ZNskcEatc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=522960"
"San  Jose  Charters,   Inc.","San Jose, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=HaY6bCBFT8k=&DOCKET=B1cF2r8+9QY=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=888093"
"San Diego Scenic Tours, Inc.","San Diego, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=tN1xayTR2x8=&DOCKET=vM1YUIuMTZ4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=550269"
"San Fernando Tours","Palmdale, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=2escfzva1fU=&DOCKET=LqfYKDYnBm8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1443426"
"San Francisco/S M Minibus","San Francisco, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=OVWbRTlEXDY=&DOCKET=WDfKJudekU0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=550875"
"Sanmo International Company Inc.","San Francisco, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=AUMtO9Mf7TE=&DOCKET=YNt4tispNAw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=842157"
"Santa Barbara Airbus","Goleta, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=cRD5Q1bVyKM=&DOCKET=Y9F6EtuFwls=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=296732"
"Santa Clara Charters","Gilroy, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=3e90uhncQRo=&DOCKET=mIGihVIpARo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1166490"
"Santiago Express, Inc","Gardena, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ODM5eG9INEU=&DOCKET=sG4JLpyTA8Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1682613"
"Seven Happiness Tour & Charter Inc","Burlingame, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=SO3RTahvfc8=&DOCKET=t+hh6IBSvms=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1588829"
"Sfo Airporter, Inc. (A California Corporation)","South San Francisco, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=i+v1EJmQVS0=&DOCKET=X5OoSBXglWc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=403060"
"Shalimar Tours And Charter","Ontario, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=PoIFzEwhvEI=&DOCKET=AeYBtXc2wZ8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1460480"
"Sierra Pacific Tours","Pacheco, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=sRImRE+kLXY=&DOCKET=ip2D0cudKLA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=204113"
"Silver Bay Tours","Morro Bay, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=TIxs4DOw8Ko=&DOCKET=3lYCi+WbCl8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=831279"
"Silver State Trailways","Placentia, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jUf308EyvsY=&DOCKET=ENFtA5Dte+M=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=273350"
"Silverado Stages","San Luis Obispo, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=snEnHF6qGtw=&DOCKET=EaVPEguLymE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=388417"
"Sina Coach","Walnut, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=5gSlCvF/yOI=&DOCKET=XkJTDF495mw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=790180"
"Sky Dragon Tour Corp","Rosemead, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Xoc4gzzdOWc=&DOCKET=2jLSSiqhGNI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1587460"
"Skyline Coach, Inc.","San Francisco, CA","See BASIC Status Link","Yes",,7,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=qyQgLd+UsIE=&DOCKET=ipq6IUFwdko=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=594462"
"Sm Tours","Calexico, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=b6s602ojM6s=&DOCKET=NxEL7RuwBUs=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2273734"
"Storer Transportation Service","Modesto, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jK7g9C0COkA=&DOCKET=2ODxGq4m+Mo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=138172"
"Sugar Bowl Resort","Norden, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=I5n8e//vr2o=&DOCKET=qy2C9IebNDU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=842066"
"Sundance Stage Lines, Inc., A California Corporation","San Diego, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=UWrIAxJH7K0=&DOCKET=EVbquL3jaws=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=184090"
"Sundiego Charter Co","National City, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=GV6CwWkpOEk=&DOCKET=UgnsTCn1Nd4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=701846"
"Sunrise Plaza Transportation, Co.","Torrance, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=iUAsr4KNNa0=&DOCKET=OWmCkIya4wE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=519323"
"Sunshire International","Rowland Hights, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=oIT4VRMT9mg=&DOCKET=Sd+6zYJAIh0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2330784"
"Tatis Diamond Tours","Sylmar, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=PEbvsZEDYGk=&DOCKET=DeH0wysqgN0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1825323"
"Tbe Tour Consultant Corp","City Of Industry, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=2nhfQmyeJ60=&DOCKET=NNRxjcTMiuk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1919119"
"The Buss Line, Inc.","Cypress, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=6OO87CVF3wE=&DOCKET=133yjpB95VA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1252033"
"The Classic Status Inc","Visalia, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=aJ4142y9gaI=&DOCKET=Vf/6S385Xpc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1980800"
"The Limousine Scene","Bakersfield, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=4iMa6JiGzIg=&DOCKET=LeHvQVpuP/A=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=846094"
"The Sun & Sons, Inc.","Walnut, CA","See BASIC Status Link","Yes",,7,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=K28bh/WL7eY=&DOCKET=B6+u/cAMGA8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1171382"
"Thea'S Tour Line","Wilmington, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=WDggb8ud2wA=&DOCKET=iYDrUI6P+6E=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1347429"
"Tlc Tours, Inc.","Quartz Hill, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Odqkyynj3Dk=&DOCKET=sckgulCZotU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=213085"
"Tour & Travel Tickets","San Francisco, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=xBmF4X15a0w=&DOCKET=i5VaJhMKuK0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2078705"
"Tour Coach","Commerce, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=NX468Ud/h5Q=&DOCKET=Avf3oGZhIik=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=581930"
"Tour World Inc","Los Angeles, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=PSPHKZhIgxc=&DOCKET=QllcyrBtbYU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1619596"
"Town Ride Inc","Los Angeles, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ND4agrGbqUY=&DOCKET=+2oAMp8dWKI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2188005"
"Translink Coachline Ltd","Temple City, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=byC8TL/3fio=&DOCKET=p+h5QXJCQks=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1821388"
"Transportation Charter Services, Inc.","Orange, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=MoLNUalPLuQ=&DOCKET=6CNINXRdfYk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=385886"
"Turismo Silveyra International","Los Angeles, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jx0Tk6ZujAI=&DOCKET=lwmMVasLUHQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1501584"
"United Coach Tours Inc","San Francisco, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jgguoU9y5vE=&DOCKET=jqGbe1nTm+c=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1652568"
"United Motor Coach Inc","La Puente, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Q4Y8sHME264=&DOCKET=WXDISS0vLeM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1991958"
"Us King Travel Inc","San Gabriel, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=AwXEn8BqrYg=&DOCKET=dNqM4a5MiQk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1622105"
