time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,XP,5,7615,Boyle Heights Science Tech Engin Math High School ,S,9-10,2017,22,27%,27%,27%,18%
April SY 14-15,XP,5,7615,Boyle Heights Science Tech Engin Math High School ,S,9-10,2018,41,44%,32%,20%,5%
April SY 14-15,N,6,8612,Cal Burke Hs ,C,9-12,2017,8,0%,25%,25%,50%
April SY 14-15,N,3,8571,Canoga Park Senior High ,S,9-12,2017,373,40%,15%,18%,26%
April SY 14-15,N,3,8571,Canoga Park Senior High ,S,9-12,2018,419,46%,33%,16%,6%
April SY 14-15,XS,3,1944,Carlson Hospital Home School ,H,K-12,2017,59,8%,3%,10%,78%
April SY 14-15,XS,3,1944,Carlson Hospital Home School ,H,K-12,2018,52,6%,8%,17%,69%
April SY 14-15,XP,7,8575,Carson Senior High ,S,9-12,2017,441,44%,15%,13%,29%
April SY 14-15,XP,7,8575,Carson Senior High ,S,9-12,2018,391,60%,25%,13%,3%
April SY 14-15,E,2,8580,Central Continuation High ,C,9-12,2017,42,19%,5%,14%,62%
April SY 14-15,E,2,8580,Central Continuation High ,C,9-12,2018,6,0%,0%,0%,100%
April SY 14-15,XP,6,7717,Cesar E Chavez Learning Acad - Academy Of Sci Exploration ,S,9-12,2017,149,55%,21%,12%,11%
April SY 14-15,XP,6,7717,Cesar E Chavez Learning Acad - Academy Of Sci Exploration ,S,9-12,2018,120,66%,27%,7%,1%
April SY 14-15,XP,6,7715,Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag ,SS,9-12,2017,139,59%,17%,12%,12%
April SY 14-15,XP,6,7715,Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag ,SS,9-12,2018,115,85%,14%,1%,0%
April SY 14-15,XP,6,7716,Cesar E Chavez Learning Academy - Social Jst Humanitas Acad ,S,9-12,2017,135,77%,10%,8%,5%
April SY 14-15,XP,6,7716,Cesar E Chavez Learning Academy - Social Jst Humanitas Acad ,S,9-12,2018,118,94%,6%,0%,0%
April SY 14-15,XP,6,8901,Cesar E Chavez Learning Academy - Teacher Prep Academy ,S,9-12,2017,119,24%,18%,9%,50%
April SY 14-15,XP,6,8901,Cesar E Chavez Learning Academy - Teacher Prep Academy ,S,9-12,2018,158,51%,46%,1%,2%
April SY 14-15,N,3,8583,Chatsworth Charter High School ,S,9-12,2017,562,47%,12%,9%,32%
April SY 14-15,N,3,8583,Chatsworth Charter High School ,S,9-12,2018,528,76%,13%,6%,5%
April SY 14-15,W,1,8688,Cheviot Hills Continuation High ,C,9-12,2017,8,0%,13%,38%,50%
April SY 14-15,W,1,8688,Cheviot Hills Continuation High ,C,9-12,2018,1,0%,0%,0%,100%
April SY 14-15,XP,2,8801,City Of Angels Independent Studies ,O,K-12,2017,430,30%,15%,13%,42%
April SY 14-15,XP,2,8801,City Of Angels Independent Studies ,O,K-12,2018,257,26%,24%,21%,30%
April SY 14-15,XP,2,8207,Contreras Lc - Academic Leadership Community ,S,9-12,2017,132,52%,19%,10%,20%
April SY 14-15,XP,2,8207,Contreras Lc - Academic Leadership Community ,S,9-12,2018,145,37%,28%,19%,16%
April SY 14-15,XP,2,8774,Contreras Lc - Los Angeles School Of Global Studies ,S,9-12,2017,85,62%,15%,15%,7%
April SY 14-15,XP,2,8774,Contreras Lc - Los Angeles School Of Global Studies ,S,9-12,2018,98,48%,34%,9%,9%
April SY 14-15,XP,2,8527,Contreras Lc - School Of Social Justice ,S,9-12,2017,122,75%,7%,8%,9%
April SY 14-15,XP,2,8527,Contreras Lc - School Of Social Justice ,S,9-12,2018,147,39%,31%,14%,16%
April SY 14-15,XP,1,8596,Crenshaw Science Tech Engineer Math & Medicine Magnet ,SS,9-12,2017,250,30%,18%,16%,36%
April SY 14-15,XP,1,8596,Crenshaw Science Tech Engineer Math & Medicine Magnet ,SS,9-12,2018,230,55%,25%,17%,3%
April SY 14-15,N,3,8558,Daniel Pearl Senior High Journalism & Communications Magnet ,SS,9-12,2017,97,66%,18%,7%,9%
April SY 14-15,N,3,8558,Daniel Pearl Senior High Journalism & Communications Magnet ,SS,9-12,2018,85,81%,11%,7%,1%
April SY 14-15,XP,7,7718,Diego Rivera Learning Complex Communication & Technology ,S,9-12,2017,163,49%,26%,9%,16%
April SY 14-15,XP,7,7718,Diego Rivera Learning Complex Communication & Technology ,S,9-12,2018,148,20%,35%,33%,11%
April SY 14-15,XP,7,7719,Diego Rivera Learning Complex Green Design ,S,9-12,2017,105,28%,15%,16%,41%
April SY 14-15,XP,7,7719,Diego Rivera Learning Complex Green Design ,S,9-12,2018,129,22%,38%,25%,15%
April SY 14-15,XP,7,7721,Diego Rivera Learning Complex Performing Arts ,S,9-12,2017,117,35%,10%,8%,47%
